@relation dataset_1

@attribute col0 numeric
@attribute col1 numeric
@attribute col2 {nom_2_0,nom_2_1,nom_2_2,nom_2_3,nom_2_4,nom_2_5}
@attribute col3 numeric
@attribute col4 numeric
@attribute class {class0,class1,class2}

@data
0.096563,1,nom_2_1,1,?,class0
0.062323,1,nom_2_1,1,?,class0
1.379705,1,nom_2_1,1,?,class0
0.018621,0,nom_2_0,0,?,class0
1.308309,1,nom_2_1,1,?,class0
-1.377082,0,nom_2_0,0,?,class0
-1.174329,0,nom_2_0,0,?,class0
-0.02779,0,nom_2_0,0,?,class0
0.137503,0,nom_2_0,0,?,class0
399.296071,1,nom_2_0,1,?,class0
-0.643156,0,nom_2_0,0,?,class0
0.582759,0,nom_2_0,0,?,class0
-1.64256,0,nom_2_0,0,?,class0
1.223625,1,nom_2_1,1,?,class0
?,1,nom_2_1,1,?,class0
-674.585462,0,nom_2_0,0,?,class0
-1.038001,1,nom_2_0,1,?,class0
-0.410883,0,nom_2_0,0,?,class0
-0.08675,0,nom_2_1,0,?,class0
0.427273,1,nom_2_1,1,?,class0
-0.810484,0,nom_2_0,0,?,class0
-0.568371,0,nom_2_0,0,?,class0
9.208188,0,nom_2_3,0,?,class2
0.920538,1,nom_2_1,1,?,class0
-1.204083,0,nom_2_0,0,?,class0
0.070728,0,nom_2_0,0,?,?
6.233733,1,nom_2_2,1,?,class1
0.605843,1,nom_2_1,1,?,class0
0.244662,0,nom_2_0,0,?,class0
-0.48683,1,nom_2_0,1,?,class0
0.450098,0,nom_2_1,0,?,class0
-0.080165,0,nom_2_0,0,?,class0
-1.027757,0,nom_2_1,0,?,class0
0.476173,1,nom_2_0,1,?,class0
0.014536,1,nom_2_1,1,?,class0
2.088426,1,nom_2_1,1,?,class0
0.63623,1,nom_2_1,1,?,class0
0.146307,1,nom_2_0,1,?,class0
-0.083374,0,nom_2_1,0,?,class0
0.099261,1,nom_2_1,1,?,class0
9.170448,0,nom_2_3,0,?,class2
-1.353827,0,nom_2_0,0,?,class0
7.586868,0,nom_2_3,0,?,class2
-0.834322,1,nom_2_0,1,?,class0
0.439894,1,nom_2_1,1,?,class0
?,1,nom_2_1,1,?,class0
0.200689,0,nom_2_0,0,?,class0
-0.578437,0,nom_2_0,0,?,class0
-0.345987,0,nom_2_0,0,?,class0
4.766574,0,nom_2_2,0,?,?
0.407832,0,nom_2_0,0,?,class0
0.908984,1,nom_2_1,1,?,class0
1.052563,1,nom_2_1,1,?,class0
?,1,nom_2_1,1,?,class0
-0.347811,0,nom_2_0,0,?,class0
0.307851,1,nom_2_1,1,?,class0
-1.088624,0,nom_2_0,0,?,class0
?,0,nom_2_0,0,?,class0
-0.775664,0,nom_2_0,0,?,class0
?,0,nom_2_1,0,?,class0
-0.38813,0,nom_2_0,0,?,class0
0.979716,1,nom_2_1,1,?,class0
3.774249,0,nom_2_2,0,?,class1
-0.718214,0,nom_2_0,0,?,class0
0.587652,1,nom_2_1,1,?,?
?,1,nom_2_1,1,?,?
10.457316,1,nom_2_4,1,?,class2
-1.268883,0,nom_2_0,0,?,?
0.959329,1,nom_2_0,1,?,class0
1.025476,1,nom_2_1,1,?,class0
-0.307494,0,nom_2_0,0,?,class0
-0.433845,1,nom_2_1,1,?,class0
-1.157144,0,nom_2_0,0,?,class0
0.074065,0,nom_2_0,0,?,class0
-1.51539,0,nom_2_0,0,?,class0
1.755904,1,nom_2_1,1,?,class0
-1.950528,0,nom_2_0,0,?,?
0.209864,1,nom_2_0,1,?,class0
-0.773908,0,nom_2_0,0,?,?
1.172151,1,nom_2_1,1,?,class0
-0.087483,0,nom_2_1,0,?,class0
0.696133,0,nom_2_0,0,?,class0
-0.440162,0,nom_2_0,0,?,class0
-1.439727,1,nom_2_0,1,?,class0
-1.408198,0,nom_2_0,0,?,class0
?,0,nom_2_0,0,?,class0
4.875371,0,nom_2_2,0,?,class1
-0.821319,0,nom_2_0,0,?,class0
-1.256039,0,nom_2_0,0,?,class0
42.51655,0,nom_2_0,0,?,class0
-0.608073,0,nom_2_0,0,?,class0
1.558546,0,nom_2_1,0,?,class0
0.12954,0,nom_2_1,0,?,class0
-0.128117,0,nom_2_0,0,?,class0
0.345359,1,nom_2_0,1,?,class0
0.460138,0,nom_2_1,0,?,class0
0.06272,0,nom_2_0,0,?,class0
4.311364,1,nom_2_2,1,?,class1
-0.285706,1,nom_2_1,1,?,class0
?,0,nom_2_0,0,?,class0
9.81084,0,nom_2_4,0,?,class2
-0.078684,1,nom_2_0,1,?,class0
3.87517,0,nom_2_2,0,?,class1
4.9647,1,nom_2_2,1,?,class1
-1.240585,0,nom_2_0,0,?,class0
?,1,nom_2_1,1,?,class0
-0.106376,1,nom_2_0,1,?,class0
-1.783948,0,nom_2_0,0,?,class0
0.02432,1,nom_2_1,1,?,class0
-1.157377,0,nom_2_0,0,?,class0
-0.183375,0,nom_2_1,0,?,class0
-0.326349,1,nom_2_1,1,?,?
0.246611,0,nom_2_0,0,?,class0
7.966867,0,nom_2_3,0,?,class2
-2.267218,0,nom_2_0,0,?,class0
0.612766,0,nom_2_0,0,?,class0
1.415915,1,nom_2_1,1,?,class0
0.4086,1,nom_2_1,1,?,class0
1.365077,1,nom_2_1,1,?,class0
5.349169,1,nom_2_2,1,?,class1
1.755081,1,nom_2_1,1,?,class0
0.364765,0,nom_2_1,0,?,class0
?,1,nom_2_1,1,?,class0
-1.002403,1,nom_2_1,1,?,class0
-1126.366219,0,nom_2_0,0,?,class0
0.965221,1,nom_2_1,1,?,class0
5.019514,0,nom_2_2,0,?,class1
-0.062826,1,nom_2_0,1,?,class0
0.207833,1,nom_2_1,1,?,class0
0.894119,1,nom_2_1,1,?,class0
-0.88186,0,nom_2_0,0,?,class0
0.37652,0,nom_2_0,0,?,class0
532.107327,1,nom_2_1,1,?,class0
-1.781183,0,nom_2_0,0,?,class0
0.943553,1,nom_2_0,1,?,class0
-0.486784,0,nom_2_0,0,?,class0
0.999871,1,nom_2_1,1,?,class0
10.56584,1,nom_2_4,1,?,class2
-157.920055,1,nom_2_0,1,?,class0
?,0,nom_2_2,0,?,class1
-0.674507,0,nom_2_0,0,?,class0
-0.526507,1,nom_2_1,1,?,class0
-0.062455,1,nom_2_1,1,?,class0
-0.988941,0,nom_2_0,0,?,class0
0.700108,1,nom_2_1,1,?,class0
?,1,nom_2_1,1,?,class0
0.633654,1,nom_2_1,1,?,class0
10.012707,0,nom_2_4,0,?,?
0.936402,1,nom_2_1,1,?,?
-1.908783,0,nom_2_0,0,?,class0
-0.326571,1,nom_2_0,1,?,class0
9.271515,1,nom_2_3,1,?,class2
-878.86639,0,nom_2_0,0,?,class0
1.635744,1,nom_2_1,1,?,class0
?,1,nom_2_1,1,?,class0
-0.117789,1,nom_2_1,1,?,class0
4.189074,0,nom_2_2,0,?,class1
-1.350704,0,nom_2_0,0,?,class0
1.426219,1,nom_2_1,1,?,class0
-87.621337,1,nom_2_1,1,?,class0
-0.223117,1,nom_2_1,1,?,class0
1.402229,1,nom_2_1,1,?,class0
0.305374,1,nom_2_1,1,?,class0
0.281057,1,nom_2_0,1,?,class0
-410.411949,0,nom_2_0,0,?,class0
0.676007,1,nom_2_1,1,?,class0
5.621779,1,nom_2_2,1,?,?
0.921463,1,nom_2_1,1,?,class0
0.57824,1,nom_2_1,1,?,class0
9.468591,0,nom_2_3,0,?,class2
-0.198394,0,nom_2_0,0,?,class0
-1.134929,0,nom_2_0,0,?,class0
-0.678166,0,nom_2_0,0,?,class0
0.694533,1,nom_2_1,1,?,class0
1.058359,1,nom_2_1,1,?,class0
5.696534,1,nom_2_2,1,?,class1
1.344639,1,nom_2_1,1,?,class0
0.43009,1,nom_2_0,1,?,class0
-0.807745,0,nom_2_0,0,?,?
6.771893,1,nom_2_2,1,?,class1
-2385.943074,0,nom_2_0,0,?,class0
0.615771,1,nom_2_1,1,?,class0
-1.33448,0,nom_2_0,0,?,class0
-0.893555,0,nom_2_0,0,?,class0
0.417659,0,nom_2_1,0,?,class0
?,0,nom_2_1,0,?,class0
9.169056,0,nom_2_3,0,?,class2
-0.161328,1,nom_2_0,1,?,class0
-0.868504,0,nom_2_0,0,?,class0
0.816402,0,nom_2_1,0,?,class0
-1.488264,0,nom_2_0,0,?,class0
-0.562771,0,nom_2_0,0,?,class0
9909.009074,0,nom_2_4,0,?,class2
11.121033,0,nom_2_4,0,?,class2
-1.418006,0,nom_2_0,0,?,class0
0.07684,1,nom_2_1,1,?,class0
-0.758211,0,nom_2_0,0,?,class0
-0.679014,0,nom_2_0,0,?,class0
1196.13812,0,nom_2_0,0,?,class0
1.751865,1,nom_2_1,1,?,class0
0.516166,1,nom_2_0,1,?,class0
-0.438699,1,nom_2_1,1,?,class0
-2.38655,0,nom_2_0,0,?,class0
-0.638273,0,nom_2_0,0,?,class0
1.558839,1,nom_2_1,1,?,class0
0.318136,1,nom_2_1,1,?,class0
2.011165,1,nom_2_1,1,?,class0
2.160356,1,nom_2_1,1,?,class0
?,1,nom_2_1,1,?,class0
1.510175,1,nom_2_1,1,?,class0
-0.44328,0,nom_2_0,0,?,class0
-0.827863,0,nom_2_0,0,?,class0
0.547566,0,nom_2_0,0,?,class0
-1.190866,0,nom_2_0,0,?,class0
-0.007839,0,nom_2_0,0,?,class0
9.478845,0,nom_2_4,0,?,class2
?,0,nom_2_0,0,?,class0
-0.296877,0,nom_2_0,0,?,class0
1.652186,1,nom_2_1,1,?,class0
10.692378,1,nom_2_4,1,?,class2
-1.651271,0,nom_2_0,0,?,class0
541.643195,1,nom_2_0,1,?,class0
0.701418,0,nom_2_1,0,?,?
1.037648,1,nom_2_1,1,?,class0
8.866636,1,nom_2_3,1,?,class2
5.051597,0,nom_2_2,0,?,class1
0.131068,1,nom_2_1,1,?,class0
1.846483,1,nom_2_1,1,?,class0
-0.547802,0,nom_2_0,0,?,class0
0.259892,1,nom_2_1,1,?,class0
0.797014,1,nom_2_1,1,?,class0
-1.320572,0,nom_2_0,0,?,class0
-0.878798,0,nom_2_0,0,?,class0
?,0,nom_2_0,0,?,class0
-0.119648,1,nom_2_1,1,?,class0
11062.452987,1,nom_2_4,1,?,class2
-1.101792,0,nom_2_0,0,?,class0
0.176941,0,nom_2_1,0,?,class0
0.818321,1,nom_2_1,1,?,class0
1.365388,1,nom_2_0,1,?,class0
1.730083,1,nom_2_1,1,?,?
-0.018064,1,nom_2_1,1,?,class0
1115.065817,1,nom_2_1,1,?,class0
1.226899,1,nom_2_1,1,?,class0
10.944949,1,nom_2_4,1,?,class2
-1.365038,0,nom_2_0,0,?,class0
9.627909,0,nom_2_4,0,?,class2
0.379497,0,nom_2_0,0,?,class0
-0.609268,0,nom_2_0,0,?,class0
-0.598414,0,nom_2_0,0,?,class0
-0.372669,0,nom_2_0,0,?,?
0.570529,1,nom_2_1,1,?,class0
1.849201,1,nom_2_1,1,?,class0
-1188.079095,0,nom_2_0,0,?,class0
-0.649422,0,nom_2_0,0,?,class0
-0.815028,0,nom_2_0,0,?,class0
0.770834,1,nom_2_1,1,?,class0
-1.214836,0,nom_2_0,0,?,class0
-1.885755,0,nom_2_0,0,?,class0
-0.321117,1,nom_2_0,1,?,class0
1.840152,1,nom_2_1,1,?,class0
0.934842,1,nom_2_1,1,?,class0
-0.473866,0,nom_2_0,0,?,class0
-0.728341,0,nom_2_0,0,?,class0
0.194921,1,nom_2_1,1,?,class0
-0.476522,0,nom_2_0,0,?,class0
0.844795,1,nom_2_1,1,?,class0
1.233901,1,nom_2_0,1,?,class0
0.91661,1,nom_2_1,1,?,class0
-0.611972,0,nom_2_0,0,?,class0
-1.227172,0,nom_2_0,0,?,?
1.507478,1,nom_2_1,1,?,class0
-0.145864,0,nom_2_0,0,?,class0
0.458659,1,nom_2_1,1,?,class0
?,1,nom_2_4,1,?,class2
0.794619,1,nom_2_1,1,?,class0
1.194344,1,nom_2_1,1,?,class0
4.558672,0,nom_2_2,0,?,class1
0.806601,1,nom_2_1,1,?,class0
0.082876,1,nom_2_0,1,?,class0
-0.575339,1,nom_2_0,1,?,class0
-1.577926,0,nom_2_0,0,?,class0
6.705444,1,nom_2_3,1,?,class1
-1.036786,0,nom_2_0,0,?,class0
-0.802867,1,nom_2_0,1,?,class0
0.24907,1,nom_2_1,1,?,class0
-0.934985,0,nom_2_0,0,?,class0
0.802516,1,nom_2_1,1,?,class0
10.981353,1,nom_2_4,1,?,class2
0.632336,1,nom_2_1,1,?,class0
1.383223,1,nom_2_1,1,?,class0
2.239003,1,nom_2_1,1,?,class0
0.162321,0,nom_2_0,0,?,class0
0.819869,1,nom_2_1,1,?,class0
6.129361,0,nom_2_2,0,?,class1
1.412908,1,nom_2_1,1,?,class0
0.654756,1,nom_2_1,1,?,class0
-1.082184,0,nom_2_0,0,?,class0
-1.823824,0,nom_2_0,0,?,class0
?,0,nom_2_0,0,?,class0
5.866906,1,nom_2_2,1,?,class1
6.224706,1,nom_2_2,1,?,class1
-0.009971,1,nom_2_1,1,?,class0
3.084504,0,nom_2_1,0,?,class1
-0.938509,0,nom_2_0,0,?,class0
-1.514625,0,nom_2_0,0,?,class0
2.115053,1,nom_2_1,1,?,class0
-0.349873,0,nom_2_0,0,?,class0
-0.16465,0,nom_2_0,0,?,class0
-0.324506,0,nom_2_1,0,?,class0
1.095396,1,nom_2_1,1,?,class0
?,0,nom_2_0,0,?,class0
-0.119444,1,nom_2_0,1,?,class0
1.219745,1,nom_2_1,1,?,class0
-1.176161,0,nom_2_0,0,?,class0
-0.693311,0,nom_2_0,0,?,class0
-0.144492,0,nom_2_0,0,?,class0
-0.846626,0,nom_2_1,0,?,class0
0.51173,1,nom_2_1,1,?,class0
-656.251428,1,nom_2_1,1,?,class0
2.78633,0,nom_2_1,0,?,class1
?,0,nom_2_0,0,?,class0
-0.562143,0,nom_2_0,0,?,class0
9.379453,0,nom_2_3,0,?,class2
-1.631708,0,nom_2_0,0,?,class0
0.811595,0,nom_2_1,0,?,class0
9.24417,0,nom_2_3,0,?,class2
-0.9399,0,nom_2_0,0,?,class0
11.331943,1,nom_2_4,1,?,class2
0.426095,1,nom_2_0,1,?,class0
?,0,nom_2_4,0,?,class2
2.374406,1,nom_2_1,1,?,?
-0.213619,1,nom_2_0,1,?,class0
0.287092,1,nom_2_1,1,?,class0
-0.134141,0,nom_2_0,0,?,class0
-503.364852,0,nom_2_0,0,?,?
6.345675,1,nom_2_2,1,?,class1
-1.661715,0,nom_2_0,0,?,class0
10.958851,1,nom_2_4,1,?,class2
5.198555,1,nom_2_2,1,?,class1
-0.499834,0,nom_2_0,0,?,class0
-0.556579,1,nom_2_0,1,?,class0
-0.283409,1,nom_2_0,1,?,class0
0.047716,1,nom_2_1,1,?,class0
-0.998339,0,nom_2_0,0,?,class0
4.956513,1,nom_2_2,1,?,class1
0.150341,1,nom_2_1,1,?,class0
-0.006192,1,nom_2_1,1,?,class0
?,0,nom_2_3,0,?,class2
0.643762,1,nom_2_1,1,?,class0
-581.522457,0,nom_2_0,0,?,class0
10.77055,1,nom_2_4,1,?,class2
?,1,nom_2_4,1,?,class2
0.462206,1,nom_2_1,1,?,class0
0.745814,1,nom_2_1,1,?,?
-0.926513,0,nom_2_0,0,?,class0
1.733818,1,nom_2_1,1,?,?
0.594239,0,nom_2_1,0,?,class0
-0.321691,0,nom_2_0,0,?,class0
0.027684,0,nom_2_0,0,?,class0
783.515545,1,nom_2_1,1,?,class0
-1.459313,0,nom_2_0,0,?,class0
10.189874,1,nom_2_4,1,?,class2
1.172671,1,nom_2_1,1,?,class0
-0.875603,1,nom_2_0,1,?,class0
0.497706,1,nom_2_1,1,?,class0
-0.218313,1,nom_2_1,1,?,class0
0.563608,1,nom_2_1,1,?,class0
0.689723,1,nom_2_1,1,?,class0
2.770645,1,nom_2_1,1,?,class0
-0.594481,0,nom_2_0,0,?,class0
-0.782791,0,nom_2_1,0,?,class0
0.628133,1,nom_2_1,1,?,class0
0.265821,1,nom_2_1,1,?,class0
-0.722786,0,nom_2_0,0,?,class0
-0.057265,0,nom_2_0,0,?,class0
0.456258,0,nom_2_1,0,?,class0
-0.185695,1,nom_2_1,1,?,class0
-0.327897,1,nom_2_0,1,?,class0
9.033739,0,nom_2_3,0,?,class2
-0.269232,1,nom_2_1,1,?,class0
0.980287,1,nom_2_1,1,?,class0
1.819282,1,nom_2_1,1,?,class0
-0.409302,1,nom_2_1,1,?,class0
-0.349197,1,nom_2_1,1,?,class0
1.733635,1,nom_2_1,1,?,class0
0.353585,1,nom_2_1,1,?,class0
1.662705,1,nom_2_1,1,?,class0
10.688087,1,nom_2_4,1,?,class2
0.186234,1,nom_2_1,1,?,class0
-0.04892,0,nom_2_0,0,?,class0
-0.776442,0,nom_2_0,0,?,class0
1.341551,1,nom_2_1,1,?,class0
-2.153449,0,nom_2_0,0,?,class0
0.2423,0,nom_2_0,0,?,class0
-499.717211,1,nom_2_0,1,?,?
-2159.495106,0,nom_2_0,0,?,class0
0.474709,1,nom_2_1,1,?,class0
?,1,nom_2_1,1,?,class0
0.497582,1,nom_2_1,1,?,class0
417.519573,1,nom_2_1,1,?,class0
-0.565365,0,nom_2_0,0,?,class0
1.237326,1,nom_2_1,1,?,class0
-0.912829,0,nom_2_0,0,?,class0
0.541536,0,nom_2_0,0,?,class0
0.000758,0,nom_2_1,0,?,class0
-0.22549,1,nom_2_0,1,?,class0
1.05006,0,nom_2_1,0,?,class0
0.931467,1,nom_2_1,1,?,class0
-1.612041,1,nom_2_0,1,?,class0
-0.544771,0,nom_2_0,0,?,class0
-1.225278,1,nom_2_0,1,?,class0
-0.551604,0,nom_2_0,0,?,class0
-751.055318,0,nom_2_0,0,?,class0
1.013302,1,nom_2_1,1,?,class0
-2.396818,0,nom_2_0,0,?,class0
12.29759,1,nom_2_4,1,?,class2
9844.815924,1,nom_2_3,1,?,class2
-0.020112,1,nom_2_0,1,?,class0
-0.829604,0,nom_2_0,0,?,class0
-2.111976,0,nom_2_0,0,?,class0
-0.520231,1,nom_2_0,1,?,class0
804.337093,1,nom_2_1,1,?,class0
1.081932,1,nom_2_1,1,?,class0
0.640892,1,nom_2_1,1,?,class0
1.716611,1,nom_2_1,1,?,class0
5.891445,1,nom_2_2,1,?,class1
-1.649966,0,nom_2_0,0,?,class0
-1.136415,0,nom_2_0,0,?,class0
0.141588,1,nom_2_0,1,?,class0
-0.92107,0,nom_2_0,0,?,class0
1.942822,1,nom_2_1,1,?,class0
-0.97788,0,nom_2_0,0,?,class0
0.898313,1,nom_2_1,1,?,class0
-0.992965,0,nom_2_0,0,?,class0
0.906162,1,nom_2_1,1,?,class0
0.445835,1,nom_2_1,1,?,class0
0.089464,1,nom_2_1,1,?,class0
0.51674,0,nom_2_1,0,?,class0
1.151196,1,nom_2_1,1,?,class0
0.212405,1,nom_2_1,1,?,class0
0.739371,1,nom_2_1,1,?,class0
989.971515,1,nom_2_1,1,?,class0
1.009484,1,nom_2_0,1,?,class0
-2.850584,0,nom_2_0,0,?,class0
-0.665726,0,nom_2_0,0,?,class0
0.116078,1,nom_2_0,1,?,class0
-0.852584,0,nom_2_0,0,?,class0
-0.760229,0,nom_2_0,0,?,class0
-0.295694,0,nom_2_0,0,?,class0
0.701861,1,nom_2_1,1,?,class0
-0.409404,0,nom_2_0,0,?,class0
0.633703,1,nom_2_0,1,?,class0
1.228176,1,nom_2_1,1,?,class0
-0.927252,0,nom_2_0,0,?,class0
0.483995,1,nom_2_0,1,?,?
0.997441,1,nom_2_1,1,?,class0
356.321593,1,nom_2_1,1,?,class0
?,0,nom_2_0,0,?,?
4.602017,0,nom_2_2,0,?,class1
0.572198,1,nom_2_0,1,?,?
0.382266,0,nom_2_1,0,?,class0
0.689957,1,nom_2_1,1,?,class0
-0.213226,0,nom_2_0,0,?,class0
-2.447819,0,nom_2_0,0,?,class0
-1.027572,0,nom_2_0,0,?,class0
0.224776,0,nom_2_0,0,?,class0
-1.884883,0,nom_2_0,0,?,class0
0.828348,1,nom_2_1,1,?,?
-0.788152,0,nom_2_0,0,?,class0
-0.093301,0,nom_2_1,0,?,class0
0.843189,1,nom_2_0,1,?,class0
